race_id,cycle,state,poll_margin,actual_margin,poll_error,receipts_edge,individual_edge,dem_incumbent,rep_incumbent
121,2018,TX,-5.797499999999999,-2.567246261342582,3.2302537386574173,0.8193596348622281,1.0078045965438371,0,1
127,2018,WI,11.414285714285715,10.825052813798152,-0.5892329004875627,1.5566518762388768,1.5634543917103898,1,0
129,2018,MN,9.571428571428571,10.619450898909932,1.0480223274813607,0.6744386369934339,0.6469336644451411,1,0
14,2014,NC,1.234375,-1.5644461031372217,-2.7988211031372217,0.7165096907748957,0.7639773302968332,1,0
1469,2016,LA,-19.96333333333333,-21.309220402100884,-1.3458870687675528,0.01927527959240678,0.05239918312660562,0,0
1470,2014,LA,-13.44,-11.86952776759221,1.5704722324077895,0.03841921690990402,0.07164441504305377,1,0
1473,2012,AZ,-2.5833333333333335,-3.0272949092948167,-0.4439615759614832,-0.3346176938113544,-0.2536072823455001,0,1
1474,2012,CA,19.91111111111111,25.0485689442892,5.13745783317809,2.4312266163464593,1.8265271051137122,1,0
1475,2012,CT,3.588235294117647,12.463188698765158,8.874953404647512,-1.575602698122215,1.9838108096240015,1,0
1477,2012,FL,7.62,13.005995399725464,5.385995399725464,0.6115654410072481,0.5761306418868287,1,0
1478,2012,HI,14.75,25.203085836142193,10.453085836142193,-0.06093842188343667,-0.13565167379285847,1,0
1479,2012,IN,2.0,5.763832847284995,3.763832847284995,-0.24938062530198124,-0.36103978188183505,1,0
1480,2012,ME,-19.416666666666668,-17.48489506836293,1.9317715983037367,-1.9495245516468067,-1.5870311865139184,0,0
1481,2012,MD,26.0,29.649358925184778,3.649358925184778,1.119263807863796,0.6188239536866087,1,0
1482,2012,MA,3.75,7.483772983823869,3.7337729838238687,0.4119426304343631,0.5832322824734273,0,1
1483,2012,MI,13.281428571428572,20.813605569666173,7.532176998237601,0.5994232610275786,0.30312191009050177,1,0
1484,2012,MN,29.11111111111111,34.700990817763184,5.589879706652074,2.0301459166581903,1.6892084350626928,1,0
1486,2012,MO,6.417647058823529,15.70060529174446,9.28295823292093,1.209338380688957,1.1143865936537887,1,0
1487,2012,MT,0.3444444444444446,3.718013603090938,3.3735691586464935,0.21991669442373646,0.28533639462697585,1,0
1488,2012,NE,-9.68,-15.548865544300327,-5.868865544300327,0.09284437851420223,0.24720102671898272,0,0
1489,2012,NV,-4.052631578947369,-1.1601465216149478,2.8924850573324212,0.11336065499431952,0.3887534466223888,0,1
1490,2012,NJ,17.714285714285715,19.491099015621693,1.7768133013359773,0.9739991384121762,0.7873085325731815,1,0
1491,2012,NM,7.653846153846154,5.730523477267781,-1.9233226765783735,-0.0638344501298392,-0.040950247664212056,1,0
1492,2012,NY,38.2,40.825458349094546,2.6254583490945436,4.700701356145978,4.643906616255217,1,0
1493,2012,ND,0.6666666666666666,0.9142316219515223,0.24756495528485567,-0.1418473775958724,0.011442661731179967,0,0
